E-1     Rev Low Noise      
F-1     Rev Syn Cymbal     
F#-1    Reverse Cymbal     
G-1     Reverse Roll       
G#-1    Reverse Snare      
A-1     Brush Swirl        
A#-1    Reverse Hi-Hat     
B-1     BD Ana Soft 1 Long 
C0      Heart              
C#0     HiQ2               
D0      Brush Slap         
D#0     HiQ1               
E0      Snare Analog 5     
F0      Tom Brush 1        
F#0     HH Cl Syn          
G0      Tom Brush 2        
G#0     HHClSE             
A0      Tom Brush 3        
A#0     HH Op Syn          
B0      BD Ana Soft 2      
C1      BD Ana Soft1 Short 
C#1     Side Stick Ana 1   
D1      Snare Analog 6     
D#1     Hand Clap Ana      
E1      Snare Analog 3     
F1      Tom Ana Clean 1    
F#1     HH Cl Ana 1 H      
G1      Tom Ana Clean 2    
G#1     HH OpAna1 ShortH   
A1      Tom Ana Clean 3    
A#1     HHOpAna1H          
B1      Tom Ana Clean 4    
C2      Tom Ana Clean 5    
C#2     Cymbal Synth 1     
D2      Tom Ana Clean 6    
D#2     Ride Hard          
E2      Chinese Cymbal     
F2      Ride Cymbal Cup    
F#2     Tambourine         
G2      Splash Cymbal      
G#2     Cowbell Analog 1   
A2      Crash Cymbal 2     
A#2     Vibraslap Analog   
B2      Ride Cymbal 1      
C3      Bongo H            
C#3     Bongo L            
D3      Conga H Mute       
D#3     Conga H Open       
E3      Conga L            
F3      Meatal Analog H    
F#3     Meatal Analog L    
G3      Glass Noize H      
G#3     Glass Noize L      
A3      Cabasa             
A#3     Maracas Analog     
B3      Tweet              
C4      Stream             
C#4     Thunder            
D4      Wind               
D#4     Claves Analog      
E4      Wood Block H       
F4      Wood Block L       
F#4     Tambourine Ana     
G4      Cowbell Analog 2   
G#4     Triangle Mute      
A4      Triangle Open      
A#4     Shaker Analog      
B4      Jingle Bell        
C5      Wind Chime         
