E-1     Rev Low Noise     
F-1     Rev Syn Cymbal    
F#-1    Reverse Cymbal    
G-1     Reverse Roll      
G#-1    Reverse Snare     
A-1     Snare Roll        
A#-1    Reverse Hi-Hat    
B-1     BD Ana Hard 2     
C0      BD Ana Hard 1     
C#0     Finger Snap       
D0      Snare Analog 2 Q  
D#0     Hand Clap Ana     
E0      Snare Ana Gate    
F0      Tom Ana Dist 1    
F#0     HH Cl Hard H      
G0      Tom Ana Dist 2    
G#0     HH Op Hard ShortH 
A0      Tom Ana Dist 3    
A#0     HH Op Hard H      
B0      BD Analog Comp    
C1      BD Ana Tight      
C#1     Side Stick Ana 3  
D1      Snare Analog 1    
D#1     Hand Clap Small   
E1      Snare Analog 2    
F1      Tom Analog 1      
F#1     HH Cl Hard        
G1      Tom Analog 2      
G#1     HH Op Hard Short  
A1      Tom Analog 3      
A#1     HH Op Hard        
B1      Tom Analog 4      
C2      Tom Analog 5      
C#2     Crash Hard        
D2      Tom Analog 6      
D#2     Ride Hard         
E2      Chinese Cymbal    
F2      Ride Cymbal Cup   
F#2     Tambourine        
G2      Splash Cymbal     
G#2     Cowbell           
A2      Crash Cymbal 2    
A#2     Cowbell Analog 1  
B2      Ride Cymbal 1     
C3      Bongo H           
C#3     Bongo L           
D3      Conga H Mute      
D#3     Conga H Open      
E3      Conga L           
F3      Timbale H         
F#3     Timbale L         
G3      Agogo H           
G#3     Agogo L           
A3      Cabasa            
A#3     Maracas           
B3      SFX Gun 2         
C4      SFX Gun 1         
C#4     Scratch 2         
D4      Scratch 3         
D#4     Hi Q 1 H          
E4      Hi Q 1 L          
F4      Hi Q 2            
F#4     Scratch 1 H       
G4      Scratch 1 L       
G#4     Triangle Mute     
A4      Triangle Open     
A#4     Shaker Analog     
B4      Jingle Bell       
C5      Bell Tree         
