E-1     Rev Low Noise    
F-1     Rev Syn Cymbal   
F#-1    Reverse Cymbal   
G-1     Reverse Roll     
G#-1    Reverse Snare    
A-1     Snare Roll Break 
A#-1    Reverse Hi-Hat   
B-1     BD Ana Loose     
C0      BD Break 4       
C#0     Snare Rim        
D0      Snare Break 6    
D#0     Hand Clap Synth  
E0      Snare Rim        
F0      Tom Hard 1       
F#0     HH Cl Break      
G0      Tom Hard 2       
G#0     HH Pedal Break 1 
A0      Tom Hard 3       
A#0     HH Op Break      
B0      BD Break 5       
C1      BD Break 3       
C#1     Side Stick       
D1      Snare Break 4    
D#1     Snare Clap       
E1      Snare Break 5    
F1      TomSoft1         
F#1     Hi-Hat Closed    
G1      TomSoft2         
G#1     Hi-Hat Pedal     
A1      TomSoft3         
A#1     Hi-Hat Open      
B1      TomSoft4         
C2      TomSoft5         
C#2     Crash Cymbal 1   
D2      TomSoft6         
D#2     Ride Cymbal 1    
E2      Chinese Cymbal   
F2      Ride Cymbal Cup  
F#2     Tambourine       
G2      Splash Cymbal    
G#2     Cowbell          
A2      Crash Cymbal 2   
A#2     Vibraslap        
B2      Ride Cymbal 2    
C3      Bongo H          
C#3     Bongo L          
D3      Conga H Mute     
D#3     Conga H Open     
E3      Conga L          
F3      Tabla Nah        
F#3     Tabla Open       
G3      Agogo H          
G#3     Agogo L          
A3      Cabasa           
A#3     Maracas          
B3      Samba Whistle H  
C4      Samba Whistle L  
C#4     Guiro Short      
D4      Guiro Long       
D#4     Claves           
E4      Wood Block H     
F4      Wood Block L     
F#4     Cuica Mute       
G4      Cuica Open       
G#4     Triangle Mute    
A4      Triangle Open    
A#4     Shaker           
B4      Jingle Bell      
C5      Bell Tree        
