E-1     Rev Low Noise    
F-1     Rev Syn Cymbal   
F#-1    Reverse Cymbal   
G-1     Reverse Roll     
G#-1    Reverse Snare    
A-1     Snare Roll       
A#-1    Reverse Hi-Hat   
B-1     BD Ana Tight     
C0      BD Analog Comp   
C#0     Finger Snap      
D0      Snare Analog 3   
D#0     Hand Clap Small  
E0      Snare Synth 4    
F0      Tom Synth 1      
F#0     HH Cl Tight      
G0      Tom Synth 2      
G#0     Hi-Hat Closed    
A0      Tom Synth 3      
A#0     Hi-Hat Open      
B0      BD Analog Blip   
C1      BD Ana Hard 2    
C#1     Side Stick Ana 3 
D1      Snare Analog 2   
D#1     Hand Clap Ana    
E1      Snare Ana Gate   
F1      Tom Analog 1     
F#1     HH Cl Ana 1      
G1      Tom Analog 2     
G#1     HH Cl Hard       
A1      Tom Analog 3     
A#1     HH Op Hard       
B1      Tom Analog 4     
C2      Tom Analog 5     
C#2     Crash Hard       
D2      Tom Analog 6     
D#2     Ride Hard        
E2      Gong 1           
F2      Ride Cymbal Cup  
F#2     Tambourine       
G2      Splash Cymbal    
G#2     Cowbell          
A2      Crash Cymbal 2   
A#2     Cowbell Analog 1 
B2      Ride Cymbal 1    
C3      Bongo H          
C#3     Bongo L          
D3      Djembe Mute      
D#3     Djembe Edge      
E3      Djembe Open      
F3      Tabla Nah        
F#3     Tabla Open       
G3      Udu Finger       
G#3     Udu High         
A3      Cabasa           
A#3     Maracas          
B3      SFX Gun 2        
C4      SFX Gun 1        
C#4     Gt Power Chord L 
D4      Gt Power Chord H 
D#4     Hi Q 1 H         
E4      Hi Q 1 L         
F4      Hi Q 2           
F#4     Digeridoo 1      
G4      Digeridoo 2      
G#4     Digeridoo 3      
A4      Finger Cymbal    
A#4     Shaker Analog    
B4      Jingle Bell      
C5      Bell Tree        
