E-1     Rev Low Noise      
F-1     Rev Syn Cymbal     
F#-1    Reverse Cymbal     
G-1     Brush Swirl        
G#-1    Reverse Snare      
A-1     Snare Roll         
A#-1    Reverse Hi-Hat     
B-1     BD Ana Soft1 Short 
C0      BD Ana Soft 1 Long 
C#0     Finger Snap        
D0      Snare Analog 3     
D#0     Hand Clap Ana      
E0      Snare Analog 4     
F0      Tom Ana Clean 1    
F#0     HH Cl Syn H        
G0      Tom Ana Clean 2    
G#0     HH Op Syn Short H  
A0      Tom Ana Clean 3    
A#0     HH Op Syn H        
B0      BD Ana Soft 2 L    
C1      BD Ana Soft 2 H    
C#1     Side Stick Ana 2   
D1      Snare Analog 5     
D#1     Snare Clap         
E1      Snare Analog 6     
F1      Tom Analog Soft 1  
F#1     HH Cl Ana 2        
G1      Tom Analog Soft 2  
G#1     HH Op Ana 2 Short  
A1      Tom Analog Soft 3  
A#1     HH Op Ana 2        
B1      Tom Analog Soft 4  
C2      Tom Analog Soft 5  
C#2     Cymbal Synth 1     
D2      Tom Analog Soft 6  
D#2     Ride Hard          
E2      Cymbal Synth 2     
F2      Ride Cup Light     
F#2     Tambourine Ana     
G2      Splash Cymbal H    
G#2     Cowbell Analog 2   
A2      Crash Cymbal Light 
A#2     Vibraslap Analog   
B2      Ride Cymbal Light  
C3      Bongo Analog H     
C#3     Bongo Analog L     
D3      Conga Analog 1     
D#3     Conga Analog 2     
E3      Conga Analog 3     
F3      Meatal Analog H    
F#3     Meatal Analog L    
G3      Glass Noize H      
G#3     Glass Noize L      
A3      Cabasa             
A#3     Maracas Analog     
B3      SFX Gun 2          
C4      SFX Gun 1          
C#4     Guiro Analog H     
D4      Guiro Analog L     
D#4     Claves Analog      
E4      Hi Q 1             
F4      Hi Q 2             
F#4     Scratch 1 H        
G4      Scratch 1 L        
G#4     Triangle Mute      
A4      Triangle Open      
A#4     Shaker Analog      
B4      Jingle Bell        
C5      Bell Tree          
