E-1     Rev Low Noise    
F-1     Rev Syn Cymbal   
F#-1    Reverse Cymbal   
G-1     Reverse Roll     
G#-1    Revers Noise     
A-1     Snare Roll       
A#-1    Reverse Hi-Hat   
B-1     BD Ana Soft 2    
C0      BD Analog Blip   
C#0     Finger Snap      
D0      Snare Analog 3 L 
D#0     Hand Clap Ana Q  
E0      Snare Analog 5 L 
F0      Tom Ana Clean 1  
F#0     HH Cl Ana 1      
G0      Tom Ana Clean 2  
G#0     HH Op Ana 1 Short Q 
A0      Tom Ana Clean 3  
A#0     HH Op Ana 1      
B0      BD Synth 2       
C1      BD Synth 1       
C#1     Side Stick Ana 4 
D1      Snare Synth 1    
D#1     Hand Clap Synth  
E1      Snare Synth 2    
F1      Tom Synth 1      
F#1     HH Cl Syn        
G1      Tom Synth 2      
G#1     HH Op Syn Short  
A1      Tom Synth 3      
A#1     HH Op Syn        
B1      Tom Synth 4      
C2      Tom Synth 5      
C#2     Cymbal Synth 1   
D2      Tom Synth 6      
D#2     Ride Hard        
E2      Cymbal Synth 3   
F2      Ride Cym Cup Q   
F#2     Tambourine Ana   
G2      Splash Cymbal    
G#2     Cowbell Analog 2 
A2      Crash Cymbal 2   
A#2     Vibraslap Synth  
B2      Ride Cymbal      
C3      Bongo Analog H   
C#3     Bongo Analog L   
D3      Conga Analog 1   
D#3     Conga Analog 2   
E3      Conga Analog 3   
F3      Meatal Analog H  
F#3     Meatal Analog L  
G3      Glass Noize H    
G#3     Glass Noize L    
A3      Cabasa           
A#3     Maracas Analog   
B3      SFX Gun 2        
C4      SFX Gun 1        
C#4     Guiro Analog H   
D4      Guiro Analog L   
D#4     Hi Q 1 H          
E4      Hi Q 1 L         
F4      Hi Q 2           
F#4     Scratch 1 H      
G4      Scratch 1 L      
G#4     Triangle Mute    
A4      Triangle Open    
A#4     Shaker Analog    
B4      Jingle Bell      
C5      Bell Tree        
