E-1     Rev Low Noise     
F-1     Rev Syn Cymbal    
F#-1    Reverse Cymbal    
G-1     Reverse Roll      
G#-1    Reverse Snare     
A-1     Brush Swirl       
A#-1    Reverse Hi-Hat    
B-1     BD Ana Tight      
C0      BD Analog Deep    
C#0     Side Stick Ana 3  
D0      Snare Analog 5    
D#0     Hand Clap Ana     
E0      Snare Analog 1    
F0      Tom Analog 1      
F#0     HH Cl Hard        
G0      Tom Analog 2      
G#0     HH Op Hard Short  
A0      Tom Analog 3      
A#0     HH Op Hard        
B0      BD Ana Loose      
C1      BD Ana Rubber     
C#1     Side Stick Ana 1  
D1      Snare Clap        
D#1     Hand Clap Synth   
E1      Snare Analog 3    
F1      Tom Ana Clean 1   
F#1     HH Cl Ana 1       
G1      Tom Ana Clean 2   
G#1     HH Op Ana 1 Short 
A1      Tom Ana Clean 3   
A#1     HH Op Ana 1       
B1      Tom Ana Clean 4   
C2      Tom Ana Clean 5   
C#2     Crash Analog      
D2      Tom Ana Clean 6   
D#2     Ride Hard         
E2      Chinese Cymbal    
F2      Ride Cymbal Cup   
F#2     Tambourine Ana    
G2      Splash Cymbal     
G#2     Cowbell Analog 1  
A2      Crash Hard 2      
A#2     Vibraslap Synth   
B2      Cymbal Synth 1    
C3      Bongo Analog H    
C#3     Bongo Analog L    
D3      Conga Analog 1    
D#3     Conga Analog 2    
E3      Conga Analog 3    
F3      Meatal Analog H   
F#3     Meatal Analog L   
G3      Glass Noize H     
G#3     Glass Noize L     
A3      Cabasa            
A#3     Maracas Analog    
B3      SFX Gun 2         
C4      SFX Gun 1         
C#4     Guiro Analog H    
D4      Guiro Analog L    
D#4     Hi Q 1 H          
E4      Hi Q 1 L          
F4      Hi Q 2            
F#4     Scratch 1 H       
G4      Scratch 1 L       
G#4     Triangle Mute     
A4      Triangle Open     
A#4     Shaker Analog     
B4      Jingle Bell       
C5      Bell Tree         
