E0      BD Ana Tight       
F0      BD Analog Comp     
F#0     BD Analog Deep     
G0      BD Ana Hard 2      
G#0     BD Ana Hard 1      
A0      BD Analog Blip     
A#0     BD Ana Rubber      
B0      BD Ana Loose       
C1      BD Synth 1         
C#1     BD Synth 2         
D1      BD Analog Dist     
D#1     Ripper             
E1      BD Ana Soft 2 L        
F1      BD Ana Soft 2 H     
F#1     BD Ana Soft 1 Short 
G1      BD Ana Soft 1 Long 
G#1     BD Dry Soft        
A1      BD Dry             
A#1     BD Tight           
B1      BD Soft            
C2      BD Room            
C#2     BD Break 2         
D2      BD Break 1         
D#2     BD & HH Open H     
E2      BD Break 4         
F2      BD Break 3         
F#2     BD Break 5         
G2      BD Break 6         
G#2     BD Break 7         
A2      Big Drum           
A#2     Taiko Drum         
B2      Surdo Open         
C3      Feet               
C#3     BD Industrial      
D3      Door Slam          
D#3     Punch              
E3      Heart              




































