E0      HH Cl Hard         
F0      HH Op Hard Short   
F#0     HH Op Hard         
G0      HH Cl Hard H          
G#0     HH Op Hard Short H  
A0      HH Op Hard H          
A#0     HH Cl Ana 1        
B0      HH Cl Ana 1 H      
C1      HH Op Ana 1 Short Q   
C#1     HH Op Ana 1 Short  
D1      HH Op Ana 1        
D#1     HH Cl Ana 2        
E1      HH Op Ana 2 Short  
F1      HH Op Ana 2        
F#1     HH Cl Syn H        
G1      HH Op Syn Short H  
G#1     HH Op Syn H        
A1      HH Cl Syn          
A#1     HH Op Syn Short    
B1      HH Op Syn          
C2      HH Cl SE             
C#2     HH Op SE Short     
D2      HH Op SE           
D#2     Hi-Hat Closed      
E2      Hi-Hat Pedal       
F2      Hi-Hat Open        
F#2     Hi-Hat Open Brush  
G2      HH Cl Tight        
G#2     Hi-Hat Pedal H     
A2      Hi-Hat Open H      
A#2     HH Cl Break        
B2      HH Pedal Break 1   
C3      HH Op Break        
C#3     HH Cl Tight H      
D3      HH Pedal Break 2   
D#3     HH Op Break        
E3      Reverse Hi-Hat     
F3      Ride Hard          
F#3     Ride Cymbal 1      
G3      Ride Cym 1 Brush   
G#3     Ride Cymbal 2      
A3      Ride Cymbal Light  
A#3     Ride Cymbal Cup    
B3      Ride Cup Light     
C4      Ride Cym Cup Q     
C#4     Ride Cup Brush     
D4      Metal Noise        
D#4     Crash Hard         
E4      Crash Analog       
F4      Cymbal Synth 1     
F#4     Cymbal Synth 1 L   
G4      Cymbal Synth 2     
G#4     Cymbal Synth 3     
A4      Rev Syn Cymbal 2   
A#4     Crash Cymbal 1     
B4      Crash Cym 1 Brush  
C5      Crash Cymbal 2     
C#5     Crash Cymbal Light 
D5      Splash Cymbal      
D#5     Splash Cymbal H    
E5      Splash Cym Brush   
F5      Chinese Cymbal     
F#5     Reverse Cymbal     
G5      Gong 1             
G#5     Gong 2             
A5      Gong 3             
A#5     Finger Cymbal 1    


































































 
