E-1     Rev Low Noise      
F-1     Rev Syn Cymbal     
F#-1    Reverse Cymbal     
G-1     Reverse Roll       
G#-1    Reverse Snare      
A-1     Snare Roll         
A#-1    Reverse Hi-Hat     
B-1     Ripper             
C0      BD Break 6         
C#0     Side Stick Ana 3 Q 
D0      Snare Break 4      
D#0     Snare Clap         
E0      Snare Analog 2     
F0      Tom Industrial 1   
F#0     Hi-Hat Closed      
G0      Tom Industrial 2   
G#0     Hi-Hat Pedal       
A0      Tom Industrial 3   
A#0     Hi-Hat Open        
B0      BD Synth 2         
C1      BD Analog Dist     
C#1     Snare Rim          
D1      Snare Ana Dist     
D#1     Noiseburst         
E1      Snare Noise Dist   
F1      Tom Ana Dist 1     
F#1     HH Cl Hard         
G1      Tom Ana Dist 2     
G#1     HH Op Hard Short   
A1      Tom Ana Dist 3     
A#1     HH Op Hard         
B1      Tom Ana Dist 4     
C2      Tom Ana Dist 5     
C#2     Crash Hard         
D2      Tom Ana Dist 6     
D#2     Ride Hard          
E2      Chinese Cymbal     
F2      Ride Cymbal Cup    
F#2     Tambourine Ana     
G2      Splash Cymbal      
G#2     Cowbell Analog 1   
A2      Crash Cymbal 2     
A#2     Vibraslap          
B2      Ride Cymbal 1      
C3      BD & HH Open H         
C#3     BD & HH Open L         
D3      Metal Noise H      
D#3     Metal Noise L      
E3      Big Drum           
F3      Timbale H          
F#3     Timbale L          
G3      Glass Noize H      
G#3     Glass Noize L      
A3      Cold Stab L        
A#3     Cold Stab H        
B3      Hard Stab L        
C4      Hard Stab H        
C#4     Scratch 2          
D4      Scratch 3          
D#4     Hi Q 1 H           
E4      Hi Q 1 L           
F4      Hi Q 2             
F#4     Scratch 1 H        
G4      Scratch 1 L        
G#4     Triangle Mute      
A4      Triangle Open      
A#4     Shaker Analog      
B4      Jingle Bell        
C5      Bell Tree          
