E-1     Rev Low Noise    
F-1     Rev Syn Cymbal   
F#-1    Reverse Cymbal   
G-1     Reverse Roll     
G#-1    Reverse Snare    
A-1     Snare Roll       
A#-1    Reverse Hi-Hat   
B-1     BD Analog Deep   
C0      BD Ana Hard 1    
C#0     Finger Snap      
D0      Snare Break 4    
D#0     Hand Clap Ana    
E0      Snare Analog 2   
F0      Tom Ana Clean 1  
F#0     HH Cl Tight      
G0      Tom Ana Clean 2  
G#0     Hi-Hat Pedal     
A0      Tom Ana Clean 3  
A#0     Hi-Hat Open      
B0      BD Ana Soft 2    
C1      BD Ana Tight     
C#1     Side Stick Ana 3 
D1      Snare Clap       
D#1     Noiseburst       
E1      Snare Analog 1   
F1      Tom Analog 1     
F#1     HH Cl Ana 1      
G1      Tom Analog 2     
G#1     HH Op Hard Short 
A1      Tom Analog 3     
A#1     HH Op Hard       
B1      Tom Analog 4     
C2      Tom Analog 5     
C#2     Crash Hard       
D2      Tom Analog 6     
D#2     Ride Hard        
E2      Chinese Cymbal   
F2      Ride Cymbal Cup  
F#2     Tambourine       
G2      Splash Cymbal    
G#2     Cowbell          
A2      Crash Cymbal 2   
A#2     Cowbell Analog 1 
B2      Ride Cymbal 1    
C3      Bongo H          
C#3     Bongo L          
D3      Conga H Mute     
D#3     Conga H Open     
E3      Conga L          
F3      Timbale H        
F#3     Timbale L        
G3      Agogo H          
G#3     Agogo L          
A3      Cabasa           
A#3     Maracas          
B3      Organ Stab L     
C4      Organ Stab H     
C#4     Giant Stab L     
D4      Giant Stab H     
D#4     Claves           
E4      Wood Block H     
F4      Wood Block L     
F#4     Cuica Mute       
G4      Cuica Open       
G#4     Triangle Mute    
A4      Triangle Open    
A#4     Shaker Analog    
B4      Jingle Bell      
C5      Bell Tree        
