E0      Snare Analog 1     
F0      Snare Analog 2     
F#0     Snare Analog 2 Q   
G0      Snare Ana Gate     
G#0     Snare Synth 1      
A0      Snare Synth 2      
A#0     Snare Synth 3      
B0      Snare Synth 4      
C1      Snare Ana Dist     
C#1     Snare Noise Dist   
D1      Metal Noise        
D#1     Snare Analog 3 L   
E1      Snare Analog 3     
F1      Snare Analog 4     
F#1     Snare Analog 5 L   
G1      Snare Analog 5     
G#1     Snare Analog 6     
A1      Snare Clap         
A#1     Snare Hard         
B1      Snare Power        
C2      Snare Dry          
C#2     Snare Rim          
D2      Snare Break 1      
D#2     Snare Break 2      
E2      Snare Break 3      
F2      Snare Roll Break   
F#2     Snare Break 6      
G2      Snare Break 4      
G#2     Snare Break 5      
A2      Snare Break 7      
A#2     Snare Break 8      
B2      Snare Break 9      
C3      Snare Break 10     
C#3     Snare Roll         
D3      Reverse Roll       
D#3     Reverse Snare      
E3      Revers Noise       
F3      Brush Tap L        
F#3     Brush Tap          
G3      Brush Slap L       
G#3     Brush Slap         
A3      Brush Swirl Long   
A#3     Brush Swirl Short  
B3      Side Stick Ana 3   
C4      Side Stick Ana 3 Q 
C#4     Side Stick Ana 4   
D4      Metal Noise        
D#4     Side Stick Ana 1   
E4      Side Stick Ana 2   
F4      Side Stick         
F#4     Snare Rim          
G4      Log Drum           
G#4     Shekere 2          
A4      Hand Clap Ana      
A#4     Hand Clap Ana Q    
B4      Hand Clap Synth    
C5      Noiseburst         
C#5     Hand Clap Small    
D5      Hand Clap Large    
D#5     Finger Snap        



























































 
