E0      Trance1  
F0      Trance2  
F#0     Trance3  
G0      Trance4  
G#0     Trance5  
A0      Trance6  
A#0     Trance7  
B0      Trance8  
C1      Trance9  
C#1     Trance10 
D1      Trance11 
D#1     FunnyCPU 
E1      Siren    
F1      SystmDwn 
F#1     Smoky    
G1      Sonr&CPU 
G#1     FX-NG    
A1      Machine? 
A#1     Bikers   
B1      RvrsLife 
C2      PanImpct 
C#2     ShotStar 
D2      AnBubble 
D#2     GameOver 
E2      ToneDeaf 
F2      What?    
F#2     Zap Gun  
G2      Hndrail1 
G#2     Hndrail2 
A2      Hitchhik 
A#2     Digger   
B2      Propelr1 
C3      Propelr2 
C#3     Greeting 
D3      Safari   
D#3     Sesame   
E3      Buddha   
F3      Wah Seq1 
F#3     Wah Seq2 
G3      Biter    
G#3     Vacuum   
A3      Brokndwn 
A#3     Teleport 
B3      Scat     
C4      Disaster 
C#4     Match    
D4      LasrShot 
D#4     Whimsy1   
E4      Whimsy2  
F4      Feeder   
F#4     Rising   
G4      Drain    
G#4     Spin     
A4      Takeoff  
A#4     GiantStp 
B4      CyberStp 
C5      Typhoon  
C#5     Rocker   
D5      Amphibia 
D#5     Escape   
