E0      Shower    
F0      Thunder   
F#0     Wind      
G0      Seashore  
G#0     Steam     
A0      Bubble    
A#0     Dog       
B0      Horse     
C1      Tweet 1   
C#1     Tweet 2   
D1      Growl     
D#1     DoorSqek  
E1      DoorSlam  
F1      Telphon1  
F#1     Telphon2  
G1      Scratch   
G#1     TurnTabl  
A1      TapeRwnd  
A#1     GlasNoiz  
B1      MetalNz1  
C2      MetalNz2  
C#2     IndstTom  
D2      CarEIgn   
D#2     CarTSqel  
E2      Car Pass  
F2      CarCrash  
F#2     Train     
G2      Helicptr  
G#2     RevBurst  
A2      RevLowNz  
A#2     Laugh     
B2      Scream    
C3      Punch     
C#3     Heart     
D3      Footstep  
D#3     Applause  
E3      BrthNoiz  
F3      Gunshot   
F#3     Bomb      
G3      Hi Q 1     
G#3     Hi Q 2     
A3      SFX Gun 1  
A#3     SFX Gun 2  
B3      BrstNoiz  
C4      Ripper    

